Policy,Wrapped,Mean_Reward,Std_Reward,Mean_Delivery,Completion_Rate,Energy_Efficiency,Images_TX,Wrapper_Failures,Wrapper_Completions
PPO_Wrapped,True,829.5919076552432,239.6375730347676,0.7499069788092916,1.0,5.484907046632421,4062.47,0.0,54680.0
Smart_Heuristic_Wrapped,True,782.5331748480739,253.47007375194758,0.7181213101722542,1.0,5.364751530305888,5247.3,0.0,54876.0
PPO,False,621.8090017143581,374.9206351438046,0.7772248466577936,0.36,3.037191555461795,3130.14,,
Smart_Heuristic,False,352.6730394194567,337.555085014348,0.5411611276579624,0.76,4.265628800900655,3753.0,,
Always_Sleep_Wrapped,True,-427.03731885805377,119.35860546568263,0.05622632429172602,1.0,26.76092436663707,419.5,0.0,11864.0
Always_Sleep,False,-530.698592894865,19.276473027306345,0.0,1.0,27.333831155291,0.0,,
Random_Wrapped,True,-1163.231328941621,194.50463126446095,0.5967143228614463,1.0,6.068774712615898,3316.3,0.0,51091.0
Random,False,-1399.8110456855388,478.5593997547262,0.5848804008894213,0.45,3.6566701024937887,2417.7,,
Battery_Threshold_Wrapped,True,-2436.7807781556635,913.1559847872647,0.7286391845724409,1.0,4.273033036046659,5296.8,0.0,58660.0
Battery_Threshold,False,-2587.9288933011594,951.1271211956241,0.6241370656503353,0.87,3.7799673636107007,4458.9,,
Max_Throughput,False,-2920.9054619074195,1568.6775039408037,0.7085546021134274,0.08,2.086072338301356,3259.7,,
Max_Throughput_Wrapped,True,-3441.3071877044154,712.8499470942646,0.6990639119964418,1.0,4.152433588716802,5110.6,0.0,63358.0
